timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2026-05-08T07:40:30,15.2,1.5,7.257,15.2,1.5,7.257,14.8,1.7,14.16,-1.0,0.0,2.488
2026-05-09T12:12:30,14.8,1.2,8.289,14.8,1.2,8.289,14.8,1.6,9.997,-1.0,0.0,2.055
2026-05-10T11:17:00,15.8,0.8,14.394,15.8,0.8,14.394,15.8,1.2,7.734,-1.0,0.0,1.816
2026-05-12T10:49:30,16.0,1.1,8.263,16.0,1.1,8.263,15.0,1.5,4.995,-1.0,0.0,1.69
2026-05-13T05:22:30,17.0,0.6,5.666,17.0,0.6,5.666,14.4,0.6,8.592,13.2,0.9,3.754
2026-05-14T12:38:30,15.6,1.1,7.531,15.6,1.1,7.531,15.0,1.2,14.219,-1.0,0.0,1.846
2026-05-15T11:09:00,15.4,2.0,11.524,15.4,2.0,11.524,14.4,1.2,14.523,14.8,1.8,3.822
2026-05-17T14:28:00,15.6,1.4,11.347,15.6,1.4,11.347,14.4,1.1,16.816,-1.0,0.0,2.491
2026-05-18T11:12:30,15.6,1.0,7.649,15.6,1.0,7.649,15.0,1.1,5.434,-1.0,0.0,2.21
2026-05-19T12:49:00,16.0,1.4,10.91,16.0,1.4,10.91,15.2,1.3,6.969,-1.0,0.0,1.534
2026-05-20T07:51:00,15.6,1.1,8.681,15.6,1.1,8.681,15.4,1.9,7.626,15.8,1.5,3.293
2026-05-20T16:31:00,16.6,1.2,8.234,16.6,1.2,8.234,16.4,1.0,3.112,-1.0,0.0,2.314
