sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
52561345382,2026-05-20T16:31:00Z,66,,66,,54,68,0.10103626943005181
52558147563,2026-05-20T07:51:00Z,64,,64,,50,68,0.14285714285714285
52552890140,2026-05-19T12:49:00Z,74,,74,,78,67,0.12679425837320574
52543482934,2026-05-18T11:12:30Z,73,,73,,59,66,0.12347354138398914
52537358684,2026-05-17T14:28:00Z,84,,84,,118,66,0.13039309683604985
52515099378,2026-05-15T11:09:00Z,85,,85,,123,67,0.20901994796183868
52511555559,2026-05-14T12:38:30Z,72,,72,,78,66,0.13027744270205066
52498266744,2026-05-13T05:22:30Z,65,,65,,72,64,0.15535444947209653
52491492000,2026-05-12T10:49:30Z,65,,65,,79,64,0.17629629629629628
52475670737,2026-05-10T11:17:00Z,85,,85,,135,65,0.10261569416498995
52467580904,2026-05-09T12:12:30Z,83,,83,,86,68,0.19103972950126796
52456088652,2026-05-08T07:40:30Z,77,,77,,79,78,0.15581643543223053
