sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
52703562859,2026-06-06T11:35:30Z,73,,73,,90,67,0.1401129943502825
52691957125,2026-06-05T07:15:30Z,66,,66,,86,68,0.14082503556187767
52685901021,2026-06-04T11:04:30Z,81,,81,,126,70,0.1232876712328767
52677681719,2026-06-01T11:02:00Z,76,,76,,97,69,0.18910585817060638
52677681718,2026-05-31T11:51:00Z,78,,78,,98,69,0.10431293881644935
52635262676,2026-05-29T11:14:30Z,85,,85,,131,68,0.11049210770659239
52626663396,2026-05-28T12:09:30Z,72,,72,,68,67,0.10580204778156997
52607630864,2026-05-26T07:24:30Z,55,,55,,61,67,0.2094488188976378
52590376435,2026-05-24T11:56:30Z,78,,78,,95,70,0.1475748194014448
52590168269,2026-05-22T07:35:30Z,62,,62,,37,69,0.16295025728987994
52571334507,2026-05-21T15:50:30Z,59,,59,,60,67,0.16273584905660377
52561345382,2026-05-20T16:31:00Z,66,,66,,54,68,0.10103626943005181
52558147563,2026-05-20T07:51:00Z,64,,64,,50,68,0.14285714285714285
52552890140,2026-05-19T12:49:00Z,74,,74,,78,67,0.12679425837320574
52543482934,2026-05-18T11:12:30Z,73,,73,,59,66,0.12347354138398914
52537358684,2026-05-17T14:28:00Z,84,,84,,118,66,0.13039309683604985
52515099378,2026-05-15T11:09:00Z,85,,85,,123,67,0.20901994796183868
52511555559,2026-05-14T12:38:30Z,72,,72,,78,66,0.13027744270205066
52498266744,2026-05-13T05:22:30Z,65,,65,,72,64,0.15535444947209653
52491492000,2026-05-12T10:49:30Z,65,,65,,79,64,0.17629629629629628
52475670737,2026-05-10T11:17:00Z,85,,85,,135,65,0.10261569416498995
52467580904,2026-05-09T12:12:30Z,83,,83,,86,68,0.19103972950126796
52456088652,2026-05-08T07:40:30Z,77,,77,,79,78,0.15581643543223053
