timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2026-05-07T07:48:30,14.2,0.8,9.665,14.2,0.8,9.665,13.0,1.6,7.975,13.6,0.5,3.096
2026-05-09T08:18:30,14.0,1.3,9.338,14.2,0.8,3.655,14.0,1.3,9.338,13.2,0.9,3.118
2026-05-10T07:49:00,14.6,0.6,8.706,14.6,0.6,8.706,13.8,1.1,13.36,11.0,0.8,2.716
2026-05-11T10:08:30,15.0,0.8,10.297,15.0,0.8,10.297,13.2,1.3,10.691,13.8,1.7,8.87
2026-05-12T08:36:30,15.2,0.8,9.457,15.2,0.8,9.457,13.8,1.1,6.678,12.8,1.6,5.344
2026-05-13T08:37:30,15.4,0.6,8.244,15.4,0.6,8.244,13.6,1.9,6.411,14.6,1.2,3.941
2026-05-14T10:10:30,14.6,1.3,9.694,14.6,1.3,9.694,13.8,0.9,10.452,16.0,1.8,4.777
2026-05-15T09:04:30,15.0,0.6,6.638,15.0,0.6,6.638,14.0,1.3,15.241,13.6,1.2,5.131
2026-05-19T09:30:00,14.8,0.8,9.123,14.8,0.8,9.123,13.8,1.5,10.47,13.6,0.8,4.344
2026-05-20T08:03:30,15.0,0.9,9.467,15.0,0.9,9.467,14.2,1.2,9.547,14.2,1.6,5.03
2026-05-21T08:15:00,14.6,0.9,10.799,14.6,0.9,10.799,14.2,1.1,6.2,13.4,1.8,4.759
2026-05-22T07:53:30,14.8,0.7,7.584,14.8,0.7,7.584,13.8,1.9,11.306,14.0,1.3,4.668
2026-05-23T07:53:30,15.0,0.4,8.049,15.0,0.4,8.049,14.4,1.0,11.446,12.8,0.7,2.852
2026-05-24T08:55:30,14.6,0.8,8.2,14.6,0.8,8.2,14.2,1.1,9.229,14.2,1.5,7.045
2026-05-25T06:49:30,14.4,0.6,4.451,14.4,0.6,4.451,14.0,1.3,8.446,14.8,1.1,4.148
2026-05-26T04:34:30,14.6,0.6,5.693,14.6,0.6,5.693,14.4,0.8,11.628,14.8,0.9,2.896
2026-05-27T07:49:30,15.2,0.7,6.731,15.2,0.7,6.731,14.2,0.7,8.828,-1.0,0.0,2.32
2026-05-28T09:55:00,14.8,0.7,7.324,14.8,0.7,7.324,13.8,1.2,10.484,13.4,1.8,2.753
2026-05-29T07:42:00,14.6,1.2,8.324,14.6,1.2,8.324,13.6,1.0,7.519,12.4,2.8,2.678
2026-05-30T09:09:00,14.4,0.9,12.593,14.4,0.9,12.593,13.4,1.3,8.893,14.0,2.0,5.972
2026-05-31T10:33:30,14.8,0.8,12.603,14.8,0.8,12.603,14.0,1.1,18.051,13.6,2.2,6.429
2026-06-01T10:14:30,14.8,1.0,10.595,14.8,1.0,10.595,13.8,1.6,12.405,14.4,1.8,5.539
2026-06-02T12:02:00,14.8,1.2,11.135,14.8,1.2,11.135,14.2,1.2,9.01,12.8,3.8,3.034
2026-06-03T10:57:30,15.4,0.8,5.78,15.4,0.8,5.78,14.6,1.1,7.605,13.4,2.1,5.457
2026-06-04T06:57:30,15.2,0.7,8.427,15.2,0.7,8.427,15.2,1.4,7.375,13.2,2.0,3.622
2026-06-05T08:00:00,14.4,0.9,8.839,14.4,0.9,8.839,13.6,1.5,10.69,13.0,1.4,3.815
